fileName,score,molFrom,algorithm,runTime,workers,disp,mini_iter,iter,b,m,batch,type,T
33252.mol,-238.2298376384262,lessNAD+.mol,minimize,6.300234079360962,,,,,,,molSizeTiming,,
33400.mol,59.304653819783226,leastNAD+.mol,minimize,4.385995864868164,,,,,,,molSizeTiming,,
38193.mol,49.38271609665762,evenLessNAD+.mol,minimize,8.530936241149902,,,,,,,molSizeTiming,,
41150.mol,47.60020693363723,leastNAD+.mol,minimize,7.744364500045776,,,,,,,molSizeTiming,,
43434.mol,-236.10925820351397,lessNAD+.mol,minimize,10.17000436782837,,,,,,,molSizeTiming,,
43440.mol,130.59896379253297,evenLessNAD+.mol,minimize,5.242006540298462,,,,,,,molSizeTiming,,
46011.mol,56.630497335889395,leastNAD+.mol,minimize,4.846634149551392,,,,,,,molSizeTiming,,
48327.mol,106.53845743824148,evenLessNAD+.mol,minimize,4.865402698516846,,,,,,,molSizeTiming,,
52210.mol,-252.37129867661923,lessNAD+.mol,minimize,8.764121770858765,,,,,,,molSizeTiming,,
52927.mol,48.68779648095352,leastNAD+.mol,minimize,6.900811433792114,,,,,,,molSizeTiming,,
54699.mol,59.21673307734288,evenLessNAD+.mol,minimize,6.357520580291748,,,,,,,molSizeTiming,,
57296.mol,-241.32840376896777,lessNAD+.mol,minimize,5.08153223991394,,,,,,,molSizeTiming,,
59948.mol,54.749383173141496,leastNAD+.mol,minimize,7.015620470046997,,,,,,,molSizeTiming,,
61152.mol,53.76752782878417,evenLessNAD+.mol,minimize,6.445472240447998,,,,,,,molSizeTiming,,
64329.mol,-214.11948233879133,lessNAD+.mol,minimize,7.026997566223144,,,,,,,molSizeTiming,,
67557.mol,37.85437692456935,leastNAD+.mol,minimize,7.603836297988892,,,,,,,molSizeTiming,,
71041.mol,48.41483646238792,evenLessNAD+.mol,minimize,9.874708414077759,,,,,,,molSizeTiming,,
71842.mol,-191.60207873136105,lessNAD+.mol,minimize,7.49992036819458,,,,,,,molSizeTiming,,
74715.mol,42.95420584325936,leastNAD+.mol,minimize,7.145550727844238,,,,,,,molSizeTiming,,
76967.mol,66.40195250982073,evenLessNAD+.mol,minimize,5.915799379348755,,,,,,,molSizeTiming,,
80153.mol,-236.38490724859304,lessNAD+.mol,minimize,8.299569129943848,,,,,,,molSizeTiming,,
81396.mol,137.51916821160114,evenLessNAD+.mol,minimize,4.41627836227417,,,,,,,molSizeTiming,,
